2026-09-20 20:47:32.432 [info] Extension host with pid 51920 started
2026-09-20 20:47:32.432 [info] Skipping acquiring lock for /home/lucky/.config/Code/User/workspaceStorage/1f28c5b09ecb5c2a85e0193939e47d5f.
2026-09-20 20:47:33.295 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2026-09-20 20:47:33.436 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2026-09-20 20:47:33.806 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*'
2026-09-20 20:47:33.822 [info] ExtensionService#_doActivateExtension formulahendry.auto-close-tag, startup: true, activationEvent: '*'
2026-09-20 20:47:33.836 [info] ExtensionService#_doActivateExtension formulahendry.auto-rename-tag, startup: true, activationEvent: '*'
2026-09-20 20:47:34.174 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2026-09-20 20:47:34.768 [info] Eager extensions activated
2026-09-20 20:47:34.950 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2026-09-20 20:47:34.977 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2026-09-20 20:47:35.084 [info] ExtensionService#_doActivateExtension eamodio.gitlens, startup: false, activationEvent: 'onStartupFinished'
2026-09-20 20:47:35.486 [info] ExtensionService#_doActivateExtension GitHub.vscode-pull-request-github, startup: false, activationEvent: 'onStartupFinished'
2026-09-20 20:48:15.922 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:jsonc'
2026-09-20 20:48:15.957 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2026-09-20 20:48:17.901 [info] ExtensionService#_doActivateExtension vscode.media-preview, startup: false, activationEvent: 'onCustomEditor:imagePreview.previewEditor'
